Associated Gene Name	Chromosome Name	Gene Start (bp)	Gene End (bp)	GO Term Accession	GO Term Name	GO Term Evidence Code	GO domain	GO Term Definition
IL18R1	2	102927989	103015218	GO:0035655	interleukin-18-mediated signaling pathway	IEA	biological_process	"A series of molecular signals initiated by the binding of interleukin-18 to a receptor on the surface of a cell, and ending with regulation of a downstream cellular process, e.g. transcription." [GOC:bf, GOC:BHF, GOC:signaling]
IL18R1	2	102927989	103015218					
C2orf83	2	228474806	228498036	GO:0006810	transport	IEA	biological_process	"The directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter or pore." [GOC:dph, GOC:jl, GOC:mah]
C2orf83	2	228474806	228498036	GO:0016020	membrane	IEA	cellular_component	"Double layer of lipid molecules that encloses all cells, and, in eukaryotes, many organelles; may be a single or double lipid bilayer; also includes associated proteins." [GOC:mah, ISBN:0815316194]
TSPAN15	10	71211229	71267425	GO:0016020	membrane	TAS	cellular_component	"Double layer of lipid molecules that encloses all cells, and, in eukaryotes, many organelles; may be a single or double lipid bilayer; also includes associated proteins." [GOC:mah, ISBN:0815316194]
TSPAN15	10	71211229	71267425	GO:0005887	integral to plasma membrane	TAS	cellular_component	"Penetrating at least one phospholipid bilayer of a plasma membrane. May also refer to the state of being buried in the bilayer with no exposure outside the bilayer." [GOC:go_curators]
TSPAN15	10	71211229	71267425	GO:0016021	integral to membrane	IEA	cellular_component	"Penetrating at least one phospholipid bilayer of a membrane. May also refer to the state of being buried in the bilayer with no exposure outside the bilayer. When used to describe a protein, indicates that all or part of the peptide sequence is embedded in the membrane." [GOC:go_curators]
KANSL1	17	44107282	44302733	GO:0046972	histone acetyltransferase activity (H4-K16 specific)	IDA	molecular_function	"Catalysis of the reaction: acetyl-CoA + histone H4 L-lysine (position 16) = CoA + histone H4 N6-acetyl-L-lysine (position 16). This reaction represents the addition of an acetyl group to the lysine at position 16 of histone H4." [EC:2.3.1.48]
KANSL1	17	44107282	44302733	GO:0043996	histone acetyltransferase activity (H4-K8 specific)	IDA	molecular_function	"Catalysis of the reaction: acetyl-CoA + histone H4 L-lysine (position 8) = CoA + histone H4 N6-acetyl-L-lysine (position 8)." [EC:2.3.1.48]
KANSL1	17	44107282	44302733	GO:0043995	histone acetyltransferase activity (H4-K5 specific)	IDA	molecular_function	"Catalysis of the reaction: acetyl-CoA + histone H4 L-lysine (position 5) = CoA + histone H4 N6-acetyl-L-lysine (position 5)." [EC:2.3.1.48]
KANSL1	17	44107282	44302733	GO:0043982	histone H4-K8 acetylation	IDA	biological_process	"The modification of histone H4 by the addition of an acetyl group to a lysine residue at position 8 of the histone." [GOC:jl]
KANSL1	17	44107282	44302733	GO:0043981	histone H4-K5 acetylation	IDA	biological_process	"The modification of histone H4 by the addition of an acetyl group to a lysine residue at position 5 of the histone." [GOC:jl]
KANSL1	17	44107282	44302733	GO:0043984	histone H4-K16 acetylation	IDA	biological_process	"The modification of histone H4 by the addition of an acetyl group to a lysine residue at position 16 of the histone." [GOC:jl]
KANSL1	17	44107282	44302733	GO:0071339	MLL1 complex	IDA	cellular_component	"A protein complex that can methylate lysine-4 of histone H3. MLL1/MLL is the catalytic methyltransferase subunit, and the complex also contains the core components ASH2L, HCFC1/HCF1 WDR5 and RBBP5." [GOC:sp, PMID:15960975]
KANSL1	17	44107282	44302733	GO:0005515	protein binding	IPI	molecular_function	"Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules)." [GOC:go_curators]
KANSL1	17	44107282	44302733	GO:0005634	nucleus	IDA	cellular_component	"A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent." [GOC:go_curators]
KANSL1	17	44107282	44302733	GO:0000123	histone acetyltransferase complex	IEA	cellular_component	"A protein complex that possesses histone acetyltransferase activity." [GOC:mah]
KANSL1	17	44107282	44302733					
RP11-192H23.4	17	26782770	26941215	GO:0016772	transferase activity, transferring phosphorus-containing groups	IEA	molecular_function	"Catalysis of the transfer of a phosphorus-containing group from one compound (donor) to another (acceptor)." [GOC:jl, ISBN:0198506732]
RP11-192H23.4	17	26782770	26941215					
TNS1	2	218664512	218867718	GO:0007044	cell-substrate junction assembly	IEA	biological_process	"The aggregation, arrangement and bonding together of a set of components to form a junction between a cell and its substrate." [GOC:mah]
TNS1	2	218664512	218867718	GO:0010761	fibroblast migration	IEA	biological_process	"Cell migration that is accomplished by extension and retraction of a fibroblast pseudopodium. A fibroblast is a connective tissue cell which secretes an extracellular matrix rich in collagen and other macromolecules." [GOC:BHF, GOC:dph, GOC:tb]
TNS1	2	218664512	218867718	GO:0005925	focal adhesion	IEA	cellular_component	"Small region on the surface of a cell that anchors the cell to the extracellular matrix and that forms a point of termination of actin filaments." [ISBN:0124325653, ISBN:0815316208]
TNS1	2	218664512	218867718	GO:0003779	actin binding	IEA	molecular_function	"Interacting selectively and non-covalently with monomeric or multimeric forms of actin, including actin filaments." [GOC:clt]
TNS1	2	218664512	218867718	GO:0005856	cytoskeleton	IEA	cellular_component	"Any of the various filamentous elements that form the internal framework of cells, and typically remain after treatment of the cells with mild detergent to remove membrane constituents and soluble components of the cytoplasm. The term embraces intermediate filaments, microfilaments, microtubules, the microtrabecular lattice, and other structures characterized by a polymeric filamentous nature and long-range order within the cell. The various elements of the cytoskeleton not only serve in the maintenance of cellular shape but also have roles in other cellular functions, including cellular movement, cell division, endocytosis, and movement of organelles." [GOC:mah, ISBN:0198547684, PMID:16959967]
TNS1	2	218664512	218867718	GO:0009986	cell surface	IEA	cellular_component	"The external part of the cell wall and/or plasma membrane." [GOC:jl, GOC:mtg_sensu, GOC:sm]
TNS1	2	218664512	218867718	GO:0005737	cytoplasm	IEA	cellular_component	"All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures." [ISBN:0198547684]
TNS1	2	218664512	218867718	GO:0005515	protein binding	IPI	molecular_function	"Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules)." [GOC:go_curators]
TNS1	2	218664512	218867718	GO:0030055	cell-substrate junction	IEA	cellular_component	"A cell junction that forms a connection between a cell and the extracellular matrix." [GOC:hb, GOC:mah]
TNS1	2	218664512	218867718	GO:0005925	focal adhesion	IDA	cellular_component	"Small region on the surface of a cell that anchors the cell to the extracellular matrix and that forms a point of termination of actin filaments." [ISBN:0124325653, ISBN:0815316208]
TNS1	2	218664512	218867718	GO:0005515	protein binding	IEA	molecular_function	"Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules)." [GOC:go_curators]
TNS1	2	218664512	218867718	GO:0035556	intracellular signal transduction	IEA	biological_process	"The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell." [GOC:bf, GOC:jl, GOC:signaling, ISBN:3527303782]
TNS1	2	218664512	218867718	GO:0046872	metal ion binding	IEA	molecular_function	"Interacting selectively and non-covalently with any metal ion." [GOC:ai]
EGLN3	14	34393437	34931980	GO:0018126	protein hydroxylation	IDA	biological_process	"The addition of a hydroxy group to a protein amino acid." [GOC:ai]
EGLN3	14	34393437	34931980	GO:0031545	peptidyl-proline 4-dioxygenase activity	IDA	molecular_function	"Catalysis of the reaction: peptidyl L-proline + 2-oxoglutarate + O2 = peptidyl trans-4-hydroxy-L-proline + succinate + CO2." [GOC:mah]
EGLN3	14	34393437	34931980	GO:0061418	regulation of transcription from RNA polymerase II promoter in response to hypoxia	TAS	biological_process	"Any process that modulates the frequency, rate or extent of transcription from an RNA polymerase II promoter as a result of a hypoxia stimulus." [GOC:dph, PMID:12511571]
EGLN3	14	34393437	34931980	GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process	IEP	biological_process	"Any process that initiates the activity of the inactive enzyme cysteine-type endopeptidase in the context of an apoptotic process." [GOC:al, GOC:dph, GOC:jl, GOC:mtg_apoptosis, GOC:tb, PMID:14744432, PMID:18328827, Wikipedia:Caspase]
EGLN3	14	34393437	34931980	GO:0031418	L-ascorbic acid binding	IEA	molecular_function	"Interacting selectively and non-covalently with L-ascorbic acid, (2R)-2-[(1S)-1,2-dihydroxyethyl]-4-hydroxy-5-oxo-2,5-dihydrofuran-3-olate; L-ascorbic acid is vitamin C and has co-factor and anti-oxidant activities in many species." [CHEBI:38290, GOC:mah]
EGLN3	14	34393437	34931980	GO:0043523	regulation of neuron apoptotic process	ISS	biological_process	"Any process that modulates the occurrence or rate of cell death by apoptotic process in neurons." [GOC:go_curators, GOC:mtg_apoptosis]
EGLN3	14	34393437	34931980	GO:0071456	cellular response to hypoxia	TAS	biological_process	"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating lowered oxygen tension. Hypoxia, defined as a decline in O2 levels below normoxic levels of 20.8 - 20.95%, results in metabolic adaptation at both the cellular and organismal level." [GOC:mah]
EGLN3	14	34393437	34931980	GO:0018401	peptidyl-proline hydroxylation to 4-hydroxy-L-proline	IDA	biological_process	"The modification of peptidyl-proline to form 4-hydroxy-L-proline; catalyzed by procollagen-proline,2-oxoglutarate-4-dioxygenase." [RESID:AA0030]
EGLN3	14	34393437	34931980	GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	IEA	molecular_function	"Catalysis of an oxidation-reduction (redox) reaction in which hydrogen or electrons are transferred from each of two donors, and molecular oxygen is reduced or incorporated into a donor." [GOC:mah]
EGLN3	14	34393437	34931980	GO:0042127	regulation of cell proliferation	IEP	biological_process	"Any process that modulates the frequency, rate or extent of cell proliferation." [GOC:jl]
EGLN3	14	34393437	34931980	GO:0005654	nucleoplasm	TAS	cellular_component	"That part of the nuclear content other than the chromosomes or the nucleolus." [GOC:ma, ISBN:0124325653]
EGLN3	14	34393437	34931980	GO:0001666	response to hypoxia	IEP	biological_process	"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating lowered oxygen tension. Hypoxia, defined as a decline in O2 levels below normoxic levels of 20.8 - 20.95%, results in metabolic adaptation at both the cellular and organismal level." [GOC:hjd]
EGLN3	14	34393437	34931980	GO:0016706	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors	IEA	molecular_function	"Catalysis of the reaction: A + 2-oxoglutarate + O2 = B + succinate + CO2. This is an oxidation-reduction (redox) reaction in which hydrogen or electrons are transferred from 2-oxoglutarate and one other donor, and one atom of oxygen is incorporated into each donor." [GOC:mah]
EGLN3	14	34393437	34931980	GO:0005506	iron ion binding	IEA	molecular_function	"Interacting selectively and non-covalently with iron (Fe) ions." [GOC:ai]
EGLN3	14	34393437	34931980	GO:0006974	cellular response to DNA damage stimulus	IEA	biological_process	"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to its DNA from environmental insults or errors during metabolism." [GOC:go_curators]
EGLN3	14	34393437	34931980	GO:0055114	oxidation-reduction process	IEA	biological_process	"A metabolic process that results in the removal or addition of one or more electrons to or from a substance, with or without the concomitant removal or addition of a proton or protons." [GOC:dhl, GOC:ecd, GOC:jh2, GOC:jid, GOC:mlg, GOC:rph]
EGLN3	14	34393437	34931980	GO:0005829	cytosol	TAS	cellular_component	"The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes." [GOC:hgd, GOC:jl]
EGLN3	14	34393437	34931980	GO:0006915	apoptotic process	IEP	biological_process	"A programmed cell death process which begins when a cell receives an internal (e.g. DNA damage) or external signal (e.g. an extracellular death ligand), and proceeds through a series of biochemical events (signaling pathways) which typically lead to rounding-up of the cell, retraction of pseudopodes, reduction of cellular volume (pyknosis), chromatin condensation, nuclear fragmentation (karyorrhexis), plasma membrane blebbing and fragmentation of the cell into apoptotic bodies. The process ends when the cell has died. The process is divided into a signaling pathway phase, and an execution phase, which is triggered by the former." [GOC:dhl, GOC:ecd, GOC:go_curators, GOC:mtg_apoptosis, GOC:tb, ISBN:0198506732, PMID:18846107, PMID:21494263]
EGLN3	14	34393437	34931980	GO:0016491	oxidoreductase activity	IEA	molecular_function	"Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced." [GOC:go_curators]
EGLN3	14	34393437	34931980	GO:0005737	cytoplasm	IDA	cellular_component	"All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures." [ISBN:0198547684]
EGLN3	14	34393437	34931980	GO:0005515	protein binding	IPI	molecular_function	"Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules)." [GOC:go_curators]
EGLN3	14	34393437	34931980	GO:0005634	nucleus	IDA	cellular_component	"A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent." [GOC:go_curators]
EGLN3	14	34393437	34931980	GO:0042127	regulation of cell proliferation	IEA	biological_process	"Any process that modulates the frequency, rate or extent of cell proliferation." [GOC:jl]
EGLN3	14	34393437	34931980	GO:0043523	regulation of neuron apoptotic process	IEA	biological_process	"Any process that modulates the occurrence or rate of cell death by apoptotic process in neurons." [GOC:go_curators, GOC:mtg_apoptosis]
SPATA16	3	172607148	172859058	GO:0005794	Golgi apparatus	IEA	cellular_component	"A compound membranous cytoplasmic organelle of eukaryotic cells, consisting of flattened, ribosome-free vesicles arranged in a more or less regular stack. The Golgi apparatus differs from the endoplasmic reticulum in often having slightly thicker membranes, appearing in sections as a characteristic shallow semicircle so that the convex side (cis or entry face) abuts the endoplasmic reticulum, secretory vesicles emerging from the concave side (trans or exit face). In vertebrate cells there is usually one such organelle, while in invertebrates and plants, where they are known usually as dictyosomes, there may be several scattered in the cytoplasm. The Golgi apparatus processes proteins produced on the ribosomes of the rough endoplasmic reticulum; such processing includes modification of the core oligosaccharides of glycoproteins, and the sorting and packaging of proteins for transport to a variety of cellular locations. Three different regions of the Golgi are now recognized both in terms of structure and function: cis, in the vicinity of the cis face, trans, in the vicinity of the trans face, and medial, lying between the cis and trans regions." [ISBN:0198506732]
SPATA16	3	172607148	172859058	GO:0007283	spermatogenesis	IEA	biological_process	"The process of formation of spermatozoa, including spermatocytogenesis and spermiogenesis." [GOC:jid, ISBN:9780878933846]
SPATA16	3	172607148	172859058	GO:0007275	multicellular organismal development	IEA	biological_process	"The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)." [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]
SPATA16	3	172607148	172859058	GO:0030154	cell differentiation	IEA	biological_process	"The process in which relatively unspecialized cells, e.g. embryonic or regenerative cells, acquire specialized structural and/or functional features that characterize the cells, tissues, or organs of the mature organism or some other relatively stable phase of the organism's life history. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state." [ISBN:0198506732]
EGLN3	14	34393437	34931980					
PANK1	10	91342745	91405215	GO:0009108	coenzyme biosynthetic process	TAS	biological_process	"The chemical reactions and pathways resulting in the formation of coenzymes, any of various nonprotein organic cofactors that are required, in addition to an enzyme and a substrate, for an enzymatic reaction to proceed." [GOC:ai]
PANK1	10	91342745	91405215	GO:0015939	pantothenate metabolic process	TAS	biological_process	"The chemical reactions and pathways involving pantothenate, the anion of pantothenic acid, the amide of beta-alanine and pantoic acid. It is a B complex vitamin that is a constituent of coenzyme A and is distributed ubiquitously in foods." [GOC:ai, ISBN:0721662544]
PANK1	10	91342745	91405215	GO:0006767	water-soluble vitamin metabolic process	TAS	biological_process	"The chemical reactions and pathways involving any of a diverse group of vitamins that are soluble in water." [GOC:jl]
PANK1	10	91342745	91405215	GO:0006766	vitamin metabolic process	TAS	biological_process	"The chemical reactions and pathways involving vitamins. Vitamin is a general term for a number of unrelated organic substances that occur in many foods in small amounts and that are necessary in trace amounts for the normal metabolic functioning of the body. Vitamins may be water-soluble or fat-soluble and usually serve as components of coenzyme systems." [GOC:ai]
PANK1	10	91342745	91405215	GO:0015937	coenzyme A biosynthetic process	IEA	biological_process	"The chemical reactions and pathways resulting in the formation of coenzyme A, 3'-phosphoadenosine-(5')diphospho(4')pantatheine, an acyl carrier in many acylation and acyl-transfer reactions in which the intermediate is a thiol ester." [ISBN:0198547684]
PANK1	10	91342745	91405215	GO:0004594	pantothenate kinase activity	IEA	molecular_function	"Catalysis of the reaction: ATP + pantothenate = ADP + D-4'-phosphopantothenate." [EC:2.7.1.33]
PANK1	10	91342745	91405215	GO:0071944	cell periphery	IEA	cellular_component	"The part of a cell encompassing the cell cortex, the plasma membrane, and any external encapsulating structures." [GOC:mah]
PANK1	10	91342745	91405215	GO:0044281	small molecule metabolic process	TAS	biological_process	"The chemical reactions and pathways involving small molecules, any low molecular weight, monomeric, non-encoded molecule." [GOC:curators, GOC:pde, GOC:vw]
PANK1	10	91342745	91405215	GO:0005829	cytosol	TAS	cellular_component	"The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes." [GOC:hgd, GOC:jl]
PANK1	10	91342745	91405215	GO:0005524	ATP binding	IEA	molecular_function	"Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator." [ISBN:0198506732]
LGI2	4	25000469	25032501	GO:0005576	extracellular region	IEA	cellular_component	"The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite." [GOC:go_curators]
LGI2	4	25000469	25032501	GO:0005515	protein binding	IEA	molecular_function	"Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules)." [GOC:go_curators]
PID1	2	229715242	230136001	GO:2001171	positive regulation of ATP biosynthetic process	ISS	biological_process	"Any process that activates or increases the frequency, rate or extent of ATP biosynthetic process." [GOC:obol]
PID1	2	229715242	230136001	GO:2001170	negative regulation of ATP biosynthetic process	IMP	biological_process	"Any process that stops, prevents or reduces the frequency, rate or extent of ATP biosynthetic process." [GOC:obol]
PID1	2	229715242	230136001	GO:0090298	negative regulation of mitochondrial DNA replication	IMP	biological_process	"Any process that decreases the rate, frequency or extent of the process in which new strands of DNA are synthesized in the mitochondrion." [GOC:tb]
PID1	2	229715242	230136001	GO:0070346	positive regulation of fat cell proliferation	IDA	biological_process	"Any process that activates or increases the rate or extent of fat cell proliferation." [GOC:mah, GOC:sl]
PID1	2	229715242	230136001	GO:0010635	regulation of mitochondrial fusion	IC	biological_process	"Any process that modulates the frequency, rate or extent of merging of two or more mitochondria within a cell to form a single compartment." [GOC:dph, GOC:tb]
PID1	2	229715242	230136001	GO:2001274	negative regulation of glucose import in response to insulin stimulus	IDA	biological_process	"Any process that stops, prevents or reduces the frequency, rate or extent of glucose import in response to insulin stimulus." [GOC:BHF]
PID1	2	229715242	230136001	GO:0090005	negative regulation of establishment of protein localization to plasma membrane	IDA	biological_process	"Any process that decreases the frequency, rate or extent of the directed movement of a protein to a specific location in the plasma membrane." [GOC:dph, GOC:tb]
PID1	2	229715242	230136001	GO:0071354	cellular response to interleukin-6	ISS	biological_process	"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an interleukin-6 stimulus." [GOC:mah]
PID1	2	229715242	230136001	GO:0044320	cellular response to leptin stimulus	IEA	biological_process	"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a leptin stimulus. Leptin is a hormone manufactured primarily in the adipocytes of white adipose tissue, and the level of circulating leptin is directly proportional to the total amount of fat in the body. It plays a key role in regulating energy intake and energy expenditure, including appetite and metabolism." [GOC:yaf]
PID1	2	229715242	230136001	GO:0006112	energy reserve metabolic process	IC	biological_process	"The chemical reactions and pathways by which a cell derives energy from stored compounds such as fats or glycogen." [GOC:mah]
PID1	2	229715242	230136001	GO:0071398	cellular response to fatty acid	ISS	biological_process	"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a fatty acid stimulus." [GOC:mah]
PID1	2	229715242	230136001	GO:2000377	regulation of reactive oxygen species metabolic process	ISS	biological_process	"Any process that modulates the frequency, rate or extent of reactive oxygen species metabolic process." [GOC:mah]
PID1	2	229715242	230136001	GO:2000045	regulation of G1/S transition of mitotic cell cycle	IDA	biological_process	"Any cell cycle regulatory process that controls the commitment of a cell from G1 to S phase of the mitotic cell cycle." [GOC:mtg_cell_cycle]
PID1	2	229715242	230136001	GO:0070584	mitochondrion morphogenesis	IMP	biological_process	"The process in which the anatomical structures of a mitochondrion are generated and organized." [GOC:mah]
PID1	2	229715242	230136001	GO:0071345	cellular response to cytokine stimulus	ISS	biological_process	"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cytokine stimulus." [GOC:mah]
PID1	2	229715242	230136001	GO:0051881	regulation of mitochondrial membrane potential	ISS	biological_process	"Any process that modulates the establishment or extent of the mitochondrial membrane potential, the electric potential existing across the mitochondrial membrane arising from charges in the membrane itself and from the charges present in the media on either side of the membrane." [GOC:ai]
PID1	2	229715242	230136001	GO:2000379	positive regulation of reactive oxygen species metabolic process	IMP	biological_process	"Any process that activates or increases the frequency, rate or extent of reactive oxygen species metabolic process." [GOC:mah]
PID1	2	229715242	230136001	GO:0071356	cellular response to tumor necrosis factor	ISS	biological_process	"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a tumor necrosis factor stimulus." [GOC:mah]
PID1	2	229715242	230136001	GO:0010628	positive regulation of gene expression	IMP	biological_process	"Any process that increases the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product or products (proteins or RNA). This includes the production of an RNA transcript as well as any processing to produce a mature RNA product or an mRNA (for protein-coding genes) and the translation of that mRNA into protein. Some protein processing events may be included when they are required to form an active form of a product from an inactive precursor form." [GOC:dph, GOC:tb]
PID1	2	229715242	230136001	GO:0046627	negative regulation of insulin receptor signaling pathway	IDA	biological_process	"Any process that stops, prevents, or reduces the frequency, rate or extent of insulin receptor signaling." [GOC:bf]
PID1	2	229715242	230136001	GO:0001933	negative regulation of protein phosphorylation	IDA	biological_process	"Any process that stops, prevents or reduces the rate of addition of phosphate groups to amino acids within a protein." [GOC:hjd]
PID1	2	229715242	230136001	GO:0005739	mitochondrion	IDA	cellular_component	"A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration." [ISBN:0198506732]
PID1	2	229715242	230136001	GO:0005737	cytoplasm	IDA	cellular_component	"All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures." [ISBN:0198547684]
PID1	2	229715242	230136001	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	IMP	biological_process	"Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter." [GOC:go_curators, GOC:txnOH]
PID1	2	229715242	230136001	GO:0005515	protein binding	IEA	molecular_function	"Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules)." [GOC:go_curators]
PID1	2	229715242	230136001	GO:0005634	nucleus	IDA	cellular_component	"A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent." [GOC:go_curators]
PID1	2	229715242	230136001	GO:0005737	cytoplasm	IEA	cellular_component	"All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures." [ISBN:0198547684]
PID1	2	229715242	230136001	GO:0051881	regulation of mitochondrial membrane potential	IEA	biological_process	"Any process that modulates the establishment or extent of the mitochondrial membrane potential, the electric potential existing across the mitochondrial membrane arising from charges in the membrane itself and from the charges present in the media on either side of the membrane." [GOC:ai]
PID1	2	229715242	230136001	GO:0071354	cellular response to interleukin-6	IEA	biological_process	"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an interleukin-6 stimulus." [GOC:mah]
PID1	2	229715242	230136001	GO:0071345	cellular response to cytokine stimulus	IEA	biological_process	"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cytokine stimulus." [GOC:mah]
PID1	2	229715242	230136001	GO:0071356	cellular response to tumor necrosis factor	IEA	biological_process	"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a tumor necrosis factor stimulus." [GOC:mah]
PID1	2	229715242	230136001	GO:0046325	negative regulation of glucose import	IEA	biological_process	"Any process that stops, prevents, or reduces the frequency, rate or extent of the import of the hexose monosaccharide glucose into a cell or organelle." [GOC:ai]
PID1	2	229715242	230136001	GO:2001171	positive regulation of ATP biosynthetic process	IEA	biological_process	"Any process that activates or increases the frequency, rate or extent of ATP biosynthetic process." [GOC:obol]
PID1	2	229715242	230136001	GO:0071398	cellular response to fatty acid	IEA	biological_process	"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a fatty acid stimulus." [GOC:mah]
PID1	2	229715242	230136001	GO:2000377	regulation of reactive oxygen species metabolic process	IEA	biological_process	"Any process that modulates the frequency, rate or extent of reactive oxygen species metabolic process." [GOC:mah]
PID1	2	229715242	230136001					
PANK1	10	91342745	91405215	GO:0005634	nucleus	IEA	cellular_component	"A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent." [GOC:go_curators]
PANK1	10	91342745	91405215	GO:0005829	cytosol	IEA	cellular_component	"The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes." [GOC:hgd, GOC:jl]
PANK1	10	91342745	91405215	GO:0055037	recycling endosome	IEA	cellular_component	"Organelle consisting of networks of 60nm tubules organized around the microtubule organizing centre in some cell types. They transport molecules (e.g., receptors, transporters, lipids) derived from endosomes, the Golgi apparatus, or the cytoplasm to the plasma membrane. Transported molecules may be recycled for reuse, or may be newly synthesized." [GOC:dph, GOC:jid, GOC:kmv, GOC:rph, PMID:10930469, PMID:15601896, PMID:16246101, PMID:21556374, PMID:21562044]
PANK1	10	91342745	91405215	GO:0030118	clathrin coat	IEA	cellular_component	"A membrane coat found on coated pits and some coated vesicles; consists of polymerized clathrin triskelions, each comprising three clathrin heavy chains and three clathrin light chains, linked to the membrane via one of the AP adaptor complexes." [GOC:mah, PMID:11252894, PMID:9531549]
MYO3A	10	26223196	26501456	GO:0060002	plus-end directed microfilament motor activity	IDA	molecular_function	"Catalysis of movement along a microfilament towards the plus end, coupled to the hydrolysis of a nucleoside triphosphate (usually ATP). The plus end of an actin filament is the end that preferentially adds actin monomers." [GOC:dph, PMID:10519557]
MYO3A	10	26223196	26501456	GO:0030898	actin-dependent ATPase activity	IDA	molecular_function	"Catalysis of the reaction: ATP + H2O = ADP + phosphate. This reaction requires the presence of an actin filament to accelerate release of ADP and phosphate." [GOC:mah]
